d6a603c was Danne Connolly, 2 days ago, message: First commit
765dcc8 was Taylor Otwell, 5 years ago, message: tweaking the migrator.
3569edb was Taylor Otwell, 5 years ago, message: fixed comment in grammar.
4737c6d was Taylor Otwell, 5 years ago, message: Merge pull request #244 from codler/patch-7
8e5c736 was Taylor Otwell, 5 years ago, message: Merge pull request #245 from paulboco/develop
e6cec8c was Taylor Otwell, 5 years ago, message: Merge pull request #246 from ericbarnes/develop
35e3642 was Taylor Otwell, 5 years ago, message: Merge pull request #253 from sparksp/2.2b1/session
e41657c was Taylor Otwell, 5 years ago, message: do not check for existence of sqlite database before connecting.
dd8ebe6 was Taylor Otwell, 5 years ago, message: make index names required.
e9da2ef was Taylor Otwell, 5 years ago, message: added comment to migrator and use the DS constant.
5e82788 was Taylor Otwell, 5 years ago, message: Merge pull request #258 from sparksp/2.2b1/migrate-mkdir
1ecadb8 was Phill Sparks, 5 years ago, message: Sort outstanding tasks by filename
e0db24a was Phill Sparks, 5 years ago, message: Create the bundle migrations dir automatically
b4621e4 was Phill Sparks, 5 years ago, message: Session throws an Exception when it's not started
ea8c6e1 was Eric Barnes, 5 years ago, message: Fixed route handles for uri's that partially match
9dbc15a was Paul Boco, 5 years ago, message: Change argument to $publisher->publish from $bundle to $bundle['name'].
9bcbe6a was Taylor Otwell, 5 years ago, message: fix bug in route handles method.
7fa80bc was Taylor Otwell, 5 years ago, message: made namespace autoloader test more realistic.
e0188f7 was Taylor Otwell, 5 years ago, message: added bundles and storage directory to dummy laravel test setup.
813cd0d was Taylor Otwell, 5 years ago, message: finish autoloader tests.
319964f was Taylor Otwell, 5 years ago, message: added basic autoloader tests.
9de8e00 was Taylor Otwell, 5 years ago, message: cleaning up the bootstrap file.
8341797 was Taylor Otwell, 5 years ago, message: cleaning up the bootstrap file.
eb193c1 was Taylor Otwell, 5 years ago, message: working on the route class.
bfc04e2 was Taylor Otwell, 5 years ago, message: set value in cookie array when cooke is set.
fce005d was Taylor Otwell, 5 years ago, message: register session in ioc.
73c09f2 was Taylor Otwell, 5 years ago, message: fixed bug in router.
6865db3 was Taylor Otwell, 5 years ago, message: cleaning up the auth class.
659a09a was Taylor Otwell, 5 years ago, message: added mroe tests for route.
5c03c1d was Taylor Otwell, 5 years ago, message: added wildcard test to route test.
aa427bb was Taylor Otwell, 5 years ago, message: added route test for handles method. fixed bug in route class.
f4e1eaf was Taylor Otwell, 5 years ago, message: adding some basic auth tests.
19f8430 was Taylor Otwell, 5 years ago, message: finished the asset tests.
9977ccb was Taylor Otwell, 5 years ago, message: adding asset container tests.
ebb11b9 was Taylor Otwell, 5 years ago, message: adding asset container tests.
7750206 was Taylor Otwell, 5 years ago, message: automatically prepare the directories registered with the auto-loader.
490fd46 was Taylor Otwell, 5 years ago, message: added base_path constant.
d95c371 was Taylor Otwell, 5 years ago, message: fix bug in controller filters.
d8597e2 was Taylor Otwell, 5 years ago, message: fix comment in bundler.
5792546 was Taylor Otwell, 5 years ago, message: added tests_path constant and added tests to bundle publisher.
ba1d2a6 was Taylor Otwell, 5 years ago, message: refactoring the file::is method.
f7e6b95 was Taylor Otwell, 5 years ago, message: added function to recursively copy a directory.
c314c0a was Taylor Otwell, 5 years ago, message: added namespace to directory mapping support in autoloader.
28c3ef6 was Taylor Otwell, 5 years ago, message: turn colors back on for tests.
6bdc34d was Taylor Otwell, 5 years ago, message: finished testing the string class.
3e8fbce was Taylor Otwell, 5 years ago, message: finished string::encoding test.
f634b6b was Taylor Otwell, 5 years ago, message: rename str.php to str.test.php... change suffix in phpunit.xml
bc2e54b was Taylor Otwell, 5 years ago, message: cleaning up some files.
6f2e83f was Taylor Otwell, 5 years ago, message: added foundation of testing setup.
db24d77 was Taylor Otwell, 5 years ago, message: merge paths into a single place.
6e120ee was Taylor Otwell, 5 years ago, message: cleaning up the hash class.
86bbb5f was Taylor Otwell, 5 years ago, message: added get and set magic methods.
b158a7a was Han Lin Yap, 5 years ago, message: DB::raw higher precedence than alias
471b7aa was Taylor Otwell, 5 years ago, message: fix glob problem in file cache driver.
04f2138 was Taylor Otwell, 5 years ago, message: fix glob problem in migration resolver.
b218e80 was Taylor Otwell, 5 years ago, message: Merge branch 'develop' of github.com:laravel/laravel into develop
f53ebbf was Taylor Otwell, 5 years ago, message: fix glob error in bundle class.
9e690c8 was Taylor Otwell, 5 years ago, message: fix problem with bundle assets.
2bbb9e5 was Taylor Otwell, 5 years ago, message: fix bug in bundle assets method.
d50638c was Taylor Otwell, 5 years ago, message: added shortcut for registering controllers in the ioc container.
f182ae2 was Taylor Otwell, 5 years ago, message: wording change
a204054 was Taylor Otwell, 5 years ago, message: added profile method to db class.
f9bc3cc was Taylor Otwell, 5 years ago, message: added before and after methods to the base controller.
f9924e4 was Taylor Otwell, 5 years ago, message: incremented version on artisan.
132a87d was Taylor Otwell, 5 years ago, message: added beta note.
6216f89 was Taylor Otwell, 5 years ago, message: incremented version
f552ff2 was Taylor Otwell, 5 years ago, message: update changelog.
b5442c6 was Taylor Otwell, 5 years ago, message: merged skunkworks into develop.
610d882 was Taylor Otwell, 5 years ago, message: incremented version and updated changelog.
c47a30f was Taylor Otwell, 5 years ago, message: fix bug in router parameter parsing.
339d3a8 was Taylor Otwell, 5 years ago, message: fixed version number.
264cc51 was Taylor Otwell, 5 years ago, message: fixed bug in auth cookie removal.
2733e5c was Taylor Otwell, 5 years ago, message: incremented version and updated changelog.
59fcd67 was Taylor Otwell, 5 years ago, message: Merge pull request #214 from akuzemchak/develop
09d1c85 was Taylor Otwell, 5 years ago, message: limited number of uri segments that a request can have.
d10aa7b was Taylor Otwell, 5 years ago, message: incremented version and updated changelog.
b1524e8 was Taylor Otwell, 5 years ago, message: Merge pull request #217 from codler/patch-4
4b3965e was Han Lin Yap, 5 years ago, message: Fix bug when using raw_where with eloquent
4a52aab was Han Lin Yap, 5 years ago, message: Fix bug when using raw_where with eloquent
81992a1 was Aaron Kuzemchak, 5 years ago, message: Changed timestamp method to protected, so that it can be extended if desired.
0302b9c was Taylor Otwell, 5 years ago, message: updated changelog and incremented version.
9d7534f was Taylor Otwell, 5 years ago, message: Merge pull request #211 from codler/patch-3
72793db was Han Lin Yap, 5 years ago, message: Fix bug - nesting Section.
ff5b631 was Taylor Otwell, 5 years ago, message: added array access to session::Get
a6c0407 was Taylor Otwell, 5 years ago, message: update changelog.
ddd6d44 was Taylor Otwell, 5 years ago, message: fix bug affecting using db::raw with eloquent.
791dbde was Taylor Otwell, 5 years ago, message: Merge pull request #207 from sparksp/fix/session-flush
1f17629 was Phill Sparks, 5 years ago, message: Session flush now correctly prepares empty data.
a2aa741 was Taylor Otwell, 5 years ago, message: Merge pull request #199 from syntaqx/master
4ec3f39 was Taylor Otwell, 5 years ago, message: fixed pagination bug affecting postgres.
09c60d0 was Taylor Otwell, 5 years ago, message: Merge pull request #197 from codler/patch-2
7106afe was Han Lin Yap, 5 years ago, message: Change to correct parameters in phpdoc
2874331 was Han Lin Yap, 5 years ago, message: phpdoc correction
077eab3 was Chase Hutchins, 5 years ago, message: Removed chr() references. The ASCII table does not change from platform to platform.
1c97dcc was Taylor Otwell, 5 years ago, message: fix filter parameter merging bug and update changelog.
4c3ffce was Taylor Otwell, 5 years ago, message: updated changelog.
9a70fe0 was Taylor Otwell, 5 years ago, message: updated changelog.
92ff047 was Taylor Otwell, 5 years ago, message: allow message container to be passed into redirect->with_errors.
cb306c9 was Taylor Otwell, 5 years ago, message: fixing a few bugs in the form class.
531454a was Taylor Otwell, 5 years ago, message: incremented version and updated changelog.
271fbbb was Taylor Otwell, 5 years ago, message: added default parameter to file::get method.
13d631e was Taylor Otwell, 5 years ago, message: updated changelog.
5b7a462 was Taylor Otwell, 5 years ago, message: Composers should not be loaded every time a new view is created.
80063bb was Taylor Otwell, 5 years ago, message: Updated changelog.
84e6224 was Taylor Otwell, 5 years ago, message: Fix bug in Autoloader's library detection.
958efea was Taylor Otwell, 5 years ago, message: Fix a docblock in the controller class.
7e33b4f was Taylor Otwell, 5 years ago, message: cleaning up some code comments.
20fc755 was Taylor Otwell, 5 years ago, message: updated changelog.
420ff38 was Taylor Otwell, 5 years ago, message: added clarification to base url method.
d22f209 was Taylor Otwell, 5 years ago, message: Simple formatting tweaks to the URL class.
9e46cad was Taylor Otwell, 5 years ago, message: Minor refactoring of the Validator. Mainly code formatting and naming changes.
ed092bf was Taylor Otwell, 5 years ago, message: Added URL::to_action and URL::to_secure_action methods for conveniently generating URLs to controllers.
1372cb3 was Taylor Otwell, 5 years ago, message: url::to method should use url::base.
00b512a was Taylor Otwell, 5 years ago, message: remove typo in method comment.
2c29e49 was Taylor Otwell, 5 years ago, message: incremented version and updated changelog.
b7b80d6 was Taylor Otwell, 5 years ago, message: the application url will now be auto-detected.
0897bb4 was Taylor Otwell, 5 years ago, message: incremented version and updated changelog.
4661ef1 was Taylor Otwell, 5 years ago, message: added code example to file::upload method.
09b4471 was Taylor Otwell, 5 years ago, message: fix file validation check in validator.
472e377 was Taylor Otwell, 5 years ago, message: fix the validation of required file uploads.
dae2839 was Taylor Otwell, 5 years ago, message: refactor the validate required method for clarity.
d933016 was Taylor Otwell, 5 years ago, message: change tagline in front controller.
170c29e was Taylor Otwell, 5 years ago, message: adding better comments in auth class.
dc34d10 was Taylor Otwell, 5 years ago, message: updated changelog for 2.0.1
bf01e93 was Taylor Otwell, 5 years ago, message: fixed variable typo in routing filter class.
ad386c8 was Taylor Otwell, 5 years ago, message: add space to css.
581d226 was Taylor Otwell, 5 years ago, message: simplified splash pages.
24b7f43 was Taylor Otwell, 5 years ago, message: added title to license.
90b7789 was Taylor Otwell, 5 years ago, message: moved to mit license.
f9a5d1e was Taylor Otwell, 5 years ago, message: simplify readme.
f575efb was Taylor Otwell, 5 years ago, message: fixing readme typos.
5e9851b was Taylor Otwell, 5 years ago, message: working on readme.
3d984ba was Taylor Otwell, 5 years ago, message: updated changelog.
63ac87c was Taylor Otwell, 5 years ago, message: Clean up Form::token method.
9b785fd was Taylor Otwell, 5 years ago, message: Update csrf_token constant.
e4fce8e was Taylor Otwell, 5 years ago, message: Update the csrf_token constant.
b7b5bc6 was Taylor Otwell, 5 years ago, message: Change csrf_token constant.
d82f1d4 was Taylor Otwell, 5 years ago, message: Facade should support calls with no parameters.
8e5852b was Taylor Otwell, 5 years ago, message: Use constant for CSRF token.
a739afc was Taylor Otwell, 5 years ago, message: Use constant for CSRF token.
0f5558d was Taylor Otwell, 5 years ago, message: Add constant for session token.
c432b7f was Taylor Otwell, 5 years ago, message: Added Redirect->with_errors method.
bbc8a5d was Taylor Otwell, 5 years ago, message: Tweak upload method in file class.
1ed1fdf was Taylor Otwell, 5 years ago, message: Clean up Input::upload method.
13d5c30 was Taylor Otwell, 5 years ago, message: Remove beta tag from front controller.
de72602 was Taylor Otwell, 5 years ago, message: Add cookie payload class constant.
ba300e0 was Taylor Otwell, 5 years ago, message: Add some more comments to the session payload.
ad9b49a was Taylor Otwell, 5 years ago, message: Extract callback validation into method.
05e365d was Taylor Otwell, 5 years ago, message: Clean up route loader.
a6bb5f2 was Taylor Otwell, 5 years ago, message: Trim exception message in database manager.
1b05381 was Taylor Otwell, 5 years ago, message: Cleaning up comments in response class.
f74d5ad was Taylor Otwell, 5 years ago, message: Set timezone in core file.
1867f28 was Taylor Otwell, 5 years ago, message: Move the timezone setting into the core file.
3e90009 was Taylor Otwell, 5 years ago, message: Tweak the language line logic.
2a27e5d was Taylor Otwell, 5 years ago, message: Tweak comment in ioc class.
eab5e24 was Taylor Otwell, 5 years ago, message: Change scope of private inflector methods to protected.
55379a0 was Taylor Otwell, 5 years ago, message: Trim line of code in form class.
d392365 was Taylor Otwell, 5 years ago, message: Trim an exception message in the crypter.
9c6d487 was Taylor Otwell, 5 years ago, message: Trim comment in config class.
7ca6909 was Taylor Otwell, 5 years ago, message: Tweaking paginator comments.
bcd5905 was Taylor Otwell, 5 years ago, message: adding paginator commetns.
d3d992d was Taylor Otwell, 5 years ago, message: adding paginator comments.
dfb3d35 was Taylor Otwell, 5 years ago, message: add ability to specify the language on the paginator.
16a2142 was Taylor Otwell, 5 years ago, message: remove some comment bloat.
100ffb4 was Taylor Otwell, 5 years ago, message: remove some comment bloat.
1cdfd5a was Taylor Otwell, 5 years ago, message: remove some comment bloat.
216a38c was Taylor Otwell, 5 years ago, message: remove some comment bloat.
3ccad7d was Taylor Otwell, 5 years ago, message: fix bug in link_to_asset method.
74b65f7 was Taylor Otwell, 5 years ago, message: tweaked link_to_asset https handling.
7cc591f was Taylor Otwell, 5 years ago, message: tweaked comments.
8d8aa75 was Taylor Otwell, 5 years ago, message: remove unnecessary paginator language lines.
927e675 was Taylor Otwell, 5 years ago, message: refactor the paginator to reincorporate the google style slider.
fcf9cd3 was Taylor Otwell, 5 years ago, message: Merge branch 'develop' of github.com:laravel/laravel into develop
1535eca was Taylor Otwell, 5 years ago, message: refactoring pagination.
8508f1b was Taylor Otwell, 5 years ago, message: Merge pull request #175 from sparksp/fix/response
f492c81 was Taylor Otwell, 5 years ago, message: added ability to filter flashed input data.
e994dff was Phill Sparks, 5 years ago, message: Fix Response::of_something() calls
837b480 was Taylor Otwell, 5 years ago, message: remove the input flashing from filters.
783101c was Taylor Otwell, 5 years ago, message: fixed bug in autoloader.
5f348b2 was Taylor Otwell, 5 years ago, message: refactoring various classes.
246434f was Taylor Otwell, 5 years ago, message: load the session. whoops!.
ccb6bc6 was Taylor Otwell, 5 years ago, message: refactoring the input class.
937441d was Taylor Otwell, 5 years ago, message: cleaning up more code.
64501dd was Taylor Otwell, 5 years ago, message: remove unnecessary variable initialization in router method.
da01674 was Taylor Otwell, 5 years ago, message: cleaning up code.
a675b05 was Taylor Otwell, 5 years ago, message: fixing some commits i accidently overwrote.
994949c was Taylor Otwell, 5 years ago, message: refactoring various classes.
b0ffc01 was Taylor Otwell, 5 years ago, message: Merge pull request #171 from daniels0xff/develop
0000ffc was Daniel Anechitoaie, 5 years ago, message: Double "for" in comment.
2a5697c was Daniel Anechitoaie, 5 years ago, message: Added DS_Store to .gitignore
1746dbd was Taylor Otwell, 5 years ago, message: Merge pull request #170 from codler/patch-1
ab5181e was Han Lin Yap, 5 years ago, message: typo
01a4efa was Taylor Otwell, 5 years ago, message: Fix bug in paginator appendage.
92a1c70 was Taylor Otwell, 5 years ago, message: Fix bug in query string construction.
4283e7e was Taylor Otwell, 5 years ago, message: moved error pages to application directory.
5e95f05 was Taylor Otwell, 5 years ago, message: added more to comment.
10b9001 was Taylor Otwell, 5 years ago, message: adjust how the response is rendered, as well as move input flashing to after filter.
7a96319 was Taylor Otwell, 5 years ago, message: dont return 404 error on null return from existing route.
e55f9e9 was Taylor Otwell, 5 years ago, message: Added a helpful comment regarding expressions.
1933965 was Taylor Otwell, 5 years ago, message: Fix bug in cookie class.
374f72f was Taylor Otwell, 5 years ago, message: Provide immediate access to set cookies.
570b431 was Taylor Otwell, 5 years ago, message: Merge pull request #159 from sparksp/develop/redis
5b9f6d1 was Taylor Otwell, 5 years ago, message: Merge pull request #161 from sparksp/develop/fix-cache
60033e5 was Phill Sparks, 5 years ago, message: Fixed Cache\Drivers\Driver::remember
8fd522f was Phill Sparks, 5 years ago, message: Refactored redis destruction
bbffa96 was Taylor Otwell, 5 years ago, message: refactoring the auth login method. allow the developer to just pass an integer.
b5207ee was Taylor Otwell, 5 years ago, message: cast the error messages to an array.
1c6f15a was Taylor Otwell, 5 years ago, message: make database connection protected.
a1b3ba7 was Taylor Otwell, 5 years ago, message: added comment to url class.
466ccdb was Taylor Otwell, 5 years ago, message: throw an exception in the request forged method if no session driver has been specified.
980caf3 was Taylor Otwell, 5 years ago, message: added callStatic method to Memcached class.
060e1f6 was Taylor Otwell, 5 years ago, message: Added BadMethodCallException to view's __callStatic method.
85936b3 was Taylor Otwell, 5 years ago, message: Fix bug and shorten exception message.
635ba52 was Taylor Otwell, 5 years ago, message: Shorted a long exception message.
2a1b5d5 was Taylor Otwell, 5 years ago, message: Shorten a long exception message.
8c8ff5f was Taylor Otwell, 5 years ago, message: Shorten long exception message.
2c2344c was Taylor Otwell, 5 years ago, message: Shorten exception message.
fc8b301 was Taylor Otwell, 5 years ago, message: Refactor the ignored error logging.
beb44eb was Taylor Otwell, 5 years ago, message: Merge pull request #157 from sparksp/develop/exception
1d5fbab was Phill Sparks, 5 years ago, message: Refactor error handling to log ignored errors
d3f9391 was Taylor Otwell, 5 years ago, message: fixing some bugs.
1acd66a was Taylor Otwell, 5 years ago, message: turn off error logging.
49901ba was Taylor Otwell, 5 years ago, message: tweaking a comment.
f0d3589 was Taylor Otwell, 5 years ago, message: changing a comment.
a664113 was Taylor Otwell, 5 years ago, message: fixing bugs in validator and file classes.
e226a46 was Taylor Otwell, 5 years ago, message: refactoring.
6bd3dcb was Taylor Otwell, 5 years ago, message: Update laravel/uri.php
8b803fd was Taylor Otwell, 5 years ago, message: Merge pull request #156 from sparksp/develop/exception
662bde8 was Phill Sparks, 5 years ago, message: Merge branch 'develop' of http://github.com/laravel/laravel into develop/exception
5863821 was Phill Sparks, 5 years ago, message: Throw better Exceptions
bdbdd05 was Taylor Otwell, 5 years ago, message: Merge pull request #155 from sparksp/develop/fix-uri
02929f7 was Phill Sparks, 5 years ago, message: Fixed the new URI class
d643ec9 was Taylor Otwell, 5 years ago, message: incremented version.
d1a969b was Taylor Otwell, 5 years ago, message: added uri class. refactored.
2758b4c was Taylor Otwell, 5 years ago, message: some small refactoring and bug fixing.
04f7661 was Taylor Otwell, 5 years ago, message: remove elapsed time from front controller.
a5aaf33 was Taylor Otwell, 5 years ago, message: fix error detail view.
32684fa was Taylor Otwell, 5 years ago, message: fixed router ioc bug.
0e8432e was Taylor Otwell, 5 years ago, message: fixed messages namespace in view.
9281f04 was Taylor Otwell, 5 years ago, message: minor refactorings.
41ca816 was Taylor Otwell, 5 years ago, message: refactoring the blade class.
f9ec36d was Taylor Otwell, 5 years ago, message: slight clean-up to uri method.
6cbac0e was Taylor Otwell, 5 years ago, message: add note about ssl option.
270e0d4 was Taylor Otwell, 5 years ago, message: fixed a few bugs.
b6ab0b0 was Taylor Otwell, 5 years ago, message: moving some laravel classes around, switching alias to reflect changes. added some factories. removed system ioc container config file.
b625ebd was Taylor Otwell, 5 years ago, message: Fix bug in redirect.
0b3ecf8 was Taylor Otwell, 5 years ago, message: Pass status when redirecting to route.
c11ee76 was Taylor Otwell, 5 years ago, message: Merge pull request #151 from sparksp/develop/ioc-container
b4fe148 was Phill Sparks, 5 years ago, message: Got rid of all IoC::container() calls
9dbe7a2 was Taylor Otwell, 5 years ago, message: put back ini_set for errors.
35d807c was Taylor Otwell, 5 years ago, message: git rid of some ioc::container calls.
0a2c61e was Taylor Otwell, 5 years ago, message: refactoring error handling.
0dc4349 was Taylor Otwell, 5 years ago, message: moved functions to helpers file.
c67a010 was Taylor Otwell, 5 years ago, message: refactoring some classes.
8ae9324 was Taylor Otwell, 5 years ago, message: tweaked comment in auth class.
8a94c97 was Taylor Otwell, 5 years ago, message: Merge pull request #147 from sparksp/develop/fix_inflector
968e80b was Taylor Otwell, 5 years ago, message: Merge pull request #149 from jaysonic/develop
654a0b8 was Jason Lewis, 5 years ago, message: Added Paginator to the array of aliased classes.
fa6489b was Taylor Otwell, 5 years ago, message: remove comment bloat from string class.
d55a5e7 was Taylor Otwell, 5 years ago, message: adjusted autoloader priority for best performance.
3854165 was Taylor Otwell, 5 years ago, message: refactoring autoloader.
fe218f9 was Taylor Otwell, 5 years ago, message: restore controller section of autoloader.
8718b58 was Taylor Otwell, 5 years ago, message: cleaning up the autoloader and core bootstrapping.
56daba4 was Taylor Otwell, 5 years ago, message: remove composers from ioc container. remove comment bloat from autoloader.
0fd88b6 was Taylor Otwell, 5 years ago, message: controller should extend base controller.
dcc334b was Taylor Otwell, 5 years ago, message: fixed bug in controller filter method.
9e9ee93 was Taylor Otwell, 5 years ago, message: moved session class.
5da8c1e was Phill Sparks, 5 years ago, message: Data is countable, it's plural of datum
932dec6 was Phill Sparks, 5 years ago, message: Added more uncountables, the list could go on
e84fb80 was Phill Sparks, 5 years ago, message: Fixed plural count check
75ba244 was Taylor Otwell, 5 years ago, message: Fix Hash class alias.
a38ba2a was Taylor Otwell, 5 years ago, message: clean up controller and session.
a1e82d2 was Taylor Otwell, 5 years ago, message: added section class. refactored session for ioc usage. improved controller. added yielding and sections to blade. general blade improvements.
d05f4fa was Taylor Otwell, 5 years ago, message: renamed hasher class to hash and hash method to make.
c4aa6e6 was Taylor Otwell, 5 years ago, message: consolidated plural and plural_if into single method.
0cd6966 was Taylor Otwell, 5 years ago, message: tweaked configuration comments.
8d3327d was Taylor Otwell, 5 years ago, message: ditched filter shortcuts
3833e12 was Taylor Otwell, 5 years ago, message: added before and after filter methods to controller.
b9e9183 was Taylor Otwell, 5 years ago, message: fix bug in session class.
fefc202 was Taylor Otwell, 5 years ago, message: tweak comments in the default controller.
6f60c44 was Taylor Otwell, 5 years ago, message: fix default controller method.
cd310ef was Taylor Otwell, 5 years ago, message: revised method of declaring filters on controllers.
1d8dcd1 was Taylor Otwell, 5 years ago, message: Made blade echo match lazy.
285a744 was Taylor Otwell, 5 years ago, message: Only reflash flashed items.
e8561ca was Taylor Otwell, 5 years ago, message: Clean up the MySQL database connector.
05902d2 was Taylor Otwell, 5 years ago, message: Cleaning up the Postgres connector.
f46a3de was Taylor Otwell, 5 years ago, message: Clean-up the default database grammar.
466f054 was Taylor Otwell, 5 years ago, message: clean up auto-loader comment.
ef89dd3 was Taylor Otwell, 5 years ago, message: Verify that the session is started before flashing errors.
a11c456 was Taylor Otwell, 5 years ago, message: Fix keep method and added started method.
498a83a was Taylor Otwell, 5 years ago, message: Merge pull request #140 from paulboco/develop
fb25edd was Paul Boco, 5 years ago, message: Fixes issue #141 and a typo.
6eae4c9 was Paul Boco, 5 years ago, message: Change attributes from protected to public.
97a3f33 was Taylor Otwell, 5 years ago, message: tweak session expiration calculation.
4bfcb06 was Taylor Otwell, 5 years ago, message: fix controller comment.
88e6143 was Taylor Otwell, 5 years ago, message: made controllers restful by default.
16a6219 was Taylor Otwell, 5 years ago, message: fix function namespacing.
7b22f66 was Taylor Otwell, 5 years ago, message: tweaked routing comments.
9f78c8b was Taylor Otwell, 5 years ago, message: Fix bug in validate_mimes method.
e89fd04 was Taylor Otwell, 5 years ago, message: Added check for application key in session class.
9fd503f was Taylor Otwell, 5 years ago, message: Small clean-up in the auth configuration file.
aa55f34 was Taylor Otwell, 5 years ago, message: Tweak the CSRF token a little more.
d0c3d65 was Taylor Otwell, 5 years ago, message: Fix CSRF token bug.
66f48b3 was Taylor Otwell, 5 years ago, message: incremented version.
adc2e21 was Taylor Otwell, 5 years ago, message: remove timestamp from index file.
5e4e625 was Taylor Otwell, 5 years ago, message: fixed merge conflicts.
28b42c6 was Taylor Otwell, 5 years ago, message: Merge pull request #133 from jjaffeux/patch-1
3b8f586 was Taylor Otwell, 5 years ago, message: fix comment in validator.
23fcf35 was Taylor Otwell, 5 years ago, message: fixed validator bug.
895d876 was Taylor Otwell, 5 years ago, message: fixed bugs found when unit testing.
4ea8910 was Joffrey JAFFEUX, 5 years ago, message: Typo
9caf239 was Taylor Otwell, 5 years ago, message: various refactorings.
128984f was Taylor Otwell, 5 years ago, message: Merge pull request #132 from daylerees/develop
da4c196 was Dayle Rees, 5 years ago, message: corrected typo ::of_layout() to ::of_home() for clarity
2a5c94a was Taylor Otwell, 5 years ago, message: ignoring files in the storage directory.
ee71bdc was Taylor Otwell, 5 years ago, message: adding back ignore files.
493e1c1 was Taylor Otwell, 5 years ago, message: remove tests from main repository, moved storage directory to application.
6081baa was Taylor Otwell, 5 years ago, message: git rid of uri test case and remove information from config.
527340d was Taylor Otwell, 5 years ago, message: fix bug in request uri parsing.
880fd10 was Taylor Otwell, 5 years ago, message: tweaking route introduction.
a986b01 was Taylor Otwell, 5 years ago, message: deprecated the session payload class.
c4eb6c9 was Taylor Otwell, 5 years ago, message: change controller->filters to protected.
2c108a9 was Taylor Otwell, 5 years ago, message: refactoring the filters.
6048d20 was Taylor Otwell, 5 years ago, message: refactoring the session class.
2e1fed2 was Taylor Otwell, 5 years ago, message: refactoring bootstrapping.
ca2c988 was Taylor Otwell, 5 years ago, message: added cookie option to session configuration.
8df52df was Taylor Otwell, 5 years ago, message: shorten really long statement.
88c8cf6 was Taylor Otwell, 5 years ago, message: refactoring.
6810b99 was Taylor Otwell, 5 years ago, message: change cookie forget time to be 25 hours in the past to cover strange timezone issues.
83d927c was Taylor Otwell, 5 years ago, message: refactoring.
c3c0fbc was Taylor Otwell, 5 years ago, message: Fix bug in update database grammar.
cf6514f was Taylor Otwell, 5 years ago, message: Fix bug in session flashing.
06bf0a4 was Taylor Otwell, 5 years ago, message: refactoring the session payload.
82b7516 was Taylor Otwell, 5 years ago, message: refactor the library detection in the autoloader.
c0c8108 was Taylor Otwell, 5 years ago, message: refactoring the autoloader.
a0bbc9d was Taylor Otwell, 5 years ago, message: refactoring the auto loader.
d44c076 was Taylor Otwell, 5 years ago, message: refactoring the autoloader.
f824cc0 was Taylor Otwell, 5 years ago, message: refactoring the uri method.
92694da was Taylor Otwell, 5 years ago, message: refactoring.
997a90b was Taylor Otwell, 5 years ago, message: major session refactoring.
36ff7b8 was Taylor Otwell, 5 years ago, message: fix bug in listing method.
b9c4526 was Taylor Otwell, 5 years ago, message: tweaking a comment.
58190c2 was Taylor Otwell, 5 years ago, message: tweaking a comment.
0586bbe was Taylor Otwell, 5 years ago, message: remove some comment bloat from the request class.
75ce879 was Taylor Otwell, 5 years ago, message: got rid of URI class and brought URI determination back to into request class.
ef9e4df was Taylor Otwell, 5 years ago, message: reverting di refactoring.
f5680e4 was Taylor Otwell, 5 years ago, message: reverting facade changes.
932a70b was Taylor Otwell, 5 years ago, message: refactoring for better dependency injection on a few classes.
faaea17 was Taylor Otwell, 5 years ago, message: refactoring the validator.
bb2cd3e was Taylor Otwell, 5 years ago, message: refactoring the auth class.
b3cdcb3 was Taylor Otwell, 5 years ago, message: tweaking some comments.
866f5d8 was Taylor Otwell, 5 years ago, message: removed provides functionality. need to explore doing this in a way that is more friendly to http, such as using the accept header.
a2aebdb was Taylor Otwell, 5 years ago, message: fix routing provides bug.
e44eec1 was Taylor Otwell, 5 years ago, message: fixed old input persistence bug.
b6d7df4 was Taylor Otwell, 5 years ago, message: fix cache manager alias.
6e916ea was Taylor Otwell, 5 years ago, message: fix bug in routing that prevented comma delimited routes.
4c2209e was Taylor Otwell, 5 years ago, message: added url tests.
4d7457a was Taylor Otwell, 5 years ago, message: added language tests.
1264a7d was Taylor Otwell, 5 years ago, message: added after filter tests.
33e1bd4 was Taylor Otwell, 5 years ago, message: added another route filter parameter test.
212bbad was Taylor Otwell, 5 years ago, message: changed route filter test.
98d351b was Taylor Otwell, 5 years ago, message: added route filter tests.
e05b05a was Taylor Otwell, 5 years ago, message: added route loader tests.
0a2587d was Taylor Otwell, 5 years ago, message: fixed bug in redis class.
cb02798 was Taylor Otwell, 5 years ago, message: fix array tests.
7bf8406 was Taylor Otwell, 5 years ago, message: refactoring. added redis drivers.
8595253 was Taylor Otwell, 5 years ago, message: refactoring the uri class... again
560b136 was Taylor Otwell, 5 years ago, message: added request format test.
c0c103a was Taylor Otwell, 5 years ago, message: added uri class tests.
415cb0f was Taylor Otwell, 5 years ago, message: continuing to refactor the uri class.
e454227 was Taylor Otwell, 5 years ago, message: refactoring the uri class more.
bce571b was Taylor Otwell, 5 years ago, message: refactoring the uri class more.
bf50b67 was Taylor Otwell, 5 years ago, message: refactoring the uri class.
bd66958 was Taylor Otwell, 5 years ago, message: refactoring.
